Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login,25,0,1200,1201.8562520000705,723.8017999989097,2233.1814000008308,251.0,0.1400058632101715,0.0,1200,1200,1300,1400,1400,1500,2200,2200,2200,2200,2200
POST,/api/auth/register,25,0,1200,1314.1158360000554,315.52989999909187,1914.6797000012157,281.0,0.1400058632101715,0.0,1200,1600,1700,1800,1800,1800,1900,1900,1900,1900,1900
GET,/api/instructor/sessions,1233,1,13,44.18055150042835,1.2956999999005347,1726.0469000011653,57953.9594484996,6.905089173525659,0.005600234528406861,13,14,14,16,18,25,790,1100,1700,1700,1700
GET,/api/scenarios/,506,0,3,7.786225691679754,1.7666999992798083,373.59619999915594,1007.0,2.8337186713738713,0.0,3,5,6,6,6,7,45,140,370,370,370
POST,/api/sessions/start,336,0,56,106.42277529762266,14.268400000219117,3411.0027000006085,263.0,1.881678801544705,0.0,56,58,59,60,64,71,2000,2400,3400,3400,3400
,Aggregated,2125,1,13,73.91614348236382,1.2956999999005347,3411.0027000006085,33914.56094117647,11.900498372864579,0.005600234528406861,13,14,17,20,59,120,1200,1600,2500,3400,3400
